Dpto;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;estadoFisicoCultivo
Boyacá;Busbanzá;Higo;Higo;Permanente;Frutales;Demas frutales;2019;C;0.3;0.0;0.0;0.0;Opuntia ficus-indica;En fresco
Boyacá;Busbanzá;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;1.0;1.0;1.0;1.0;Hordeum vulgare;En fresco
Boyacá;Busbanzá;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;35.0;35.0;28.0;0.8;Zea mays;En fresco
Boyacá;Busbanzá;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;A;3.0;3.0;3.0;1.0;Triticum aestivum;En fresco
Boyacá;Busbanzá;Ahuyama;Ahuyama;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;1.0;1.0;5.0;5.0;Cucurbita maxima;En fresco
Boyacá;Busbanzá;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2019;A;2.5;2.5;3.75;1.5;No aplica;En fresco
Boyacá;Busbanzá;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;6.0;6.0;60.0;10.0;Solanum tuberosum;En fresco
Boyacá;Busbanzá;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2019;B;2.5;2.5;2.5;1.0;No aplica;En fresco
Boyacá;Caldas;Curuba;Curuba;Permanente;Frutales;Pasifloráceas;2019;C;20.0;20.0;160.0;8.0;Passiflora mollissima;En fresco
Boyacá;Caldas;Fresa;Fresa;Permanente;Frutales;Demas frutales;2019;C;6.0;6.0;140.0;23.33;Fragaria vesca;En fresco
Boyacá;Caldas;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;5.0;5.0;20.0;4.0;Morus ssp;En fresco
Boyacá;Caldas;Papayuela -Babaco;Papayuela -Babaco;Permanente;Frutales;Demas frutales;2019;C;20.0;20.0;140.0;7.0;Vasconcellea pubescens;En fresco
