Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Maíz;Cereales;80.0;111.86;1.4;5;1;1;0;1624
Arveja;Leguminosas;70.0;163.55;2.34;3;2;1;0;1173
Arveja;Leguminosas;8.0;10.0;2.0;3;2;0;0;1173
Arveja;Leguminosas;10.0;25.0;2.5;3;2;1;0;1173
Café;Cultivos Tropicales Tradicionales;840.24;635.94;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;191.5;9575.0;50.0;6;4;2;1;463
Maíz;Cereales;21.0;24.33;1.28;5;1;0;0;1624
Maíz;Cereales;9.0;12.31;1.37;5;1;0;0;1624
Frijol;Leguminosas;12.0;12.0;1.09;3;1;0;0;1090
Maíz;Cereales;2.0;2.52;1.26;5;1;1;0;1624
Maíz;Cereales;3.0;3.64;1.21;5;1;1;0;1624
Frijol;Leguminosas;4.0;4.0;1.33;3;1;1;0;1090
Maíz;Cereales;8.0;6.71;1.12;5;1;0;0;1624
Maíz;Cereales;3.0;2.24;1.12;5;1;0;0;1624
Arveja;Leguminosas;50.0;160.0;4.0;3;2;0;0;1173
Maíz;Cereales;6.0;6.71;1.12;5;1;1;0;1624
Maíz;Cereales;6.0;6.71;1.12;5;1;1;0;1624
Arveja;Leguminosas;42.0;50.0;1.28;3;2;1;0;1173
Maíz;Cereales;5.0;7.65;1.7;5;1;0;0;1624
Arveja;Leguminosas;18.0;32.0;2.0;3;2;0;0;1173
Haba;Leguminosas;4.0;1.32;0.38;3;1;0;0;215
Maíz;Cereales;6.0;8.5;1.7;5;1;1;0;1624
Arveja;Leguminosas;20.0;36.0;2.0;3;2;1;0;1173
Haba;Leguminosas;8.0;2.73;0.39;3;1;1;0;215
Maíz;Cereales;15.0;26.0;2.36;5;1;0;0;1624
Maíz;Cereales;4.0;8.5;2.83;5;1;0;0;1624
Arveja;Leguminosas;12.0;25.0;2.5;3;2;0;0;1173
Maíz;Cereales;9.0;16.0;2.29;5;1;1;0;1624
Maíz;Cereales;7.0;12.0;2.18;5;1;1;0;1624
Arveja;Leguminosas;12.0;24.0;2.4;3;2;1;0;1173
Arveja;Leguminosas;211.0;840.0;4.0;3;2;0;0;1173
Arveja;Leguminosas;120.0;372.78;3.27;3;2;1;0;1173
Café;Cultivos Tropicales Tradicionales;334.3;268.31;0.88;6;3;2;1;474
Maíz;Cereales;10.0;13.5;1.5;5;1;0;0;1624
Maíz;Cereales;11.0;10.5;1.5;5;1;0;0;1624
Arveja;Leguminosas;6.0;8.0;2.0;3;2;0;0;1173
Frijol;Leguminosas;10.0;10.0;1.0;3;1;0;0;1090
Maíz;Cereales;35.0;33.0;1.0;5;1;1;0;1624
Maíz;Cereales;35.0;30.0;1.0;5;1;1;0;1624
Arveja;Leguminosas;6.0;2.3;2.3;3;2;1;0;1173
Maíz;Cereales;350.0;300.0;1.0;5;1;0;0;1624
Arveja;Leguminosas;25.0;61.68;2.8;3;2;0;0;1173
Maíz;Cereales;220.0;352.0;1.6;5;1;1;0;1624
Arveja;Leguminosas;65.0;120.0;2.0;3;2;1;0;1173
Café;Cultivos Tropicales Tradicionales;631.91;448.74;0.82;6;3;2;1;474
Maíz;Cereales;15.71;47.13;3.0;5;1;0;0;1624
Maíz;Cereales;6.29;18.87;3.0;5;1;0;0;1624
Frijol;Leguminosas;7.0;24.48;3.5;3;1;0;0;1090
Maíz;Cereales;12.39;37.17;3.0;5;1;1;0;1624
Maíz;Cereales;11.62;34.86;3.0;5;1;1;0;1624
Frijol;Leguminosas;7.0;24.48;3.5;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;163.39;115.21;0.81;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;17.5;1296.0;96.0;6;4;2;1;463
Maíz;Cereales;6.0;4.0;0.8;5;1;0;0;1624
Maíz;Cereales;2.0;1.0;1.0;5;1;0;0;1624
Frijol;Leguminosas;70.0;120.0;2.0;3;1;0;0;1090
Arveja;Leguminosas;5.0;6.54;1.64;3;2;1;0;1173
Garbanzo;Leguminosas;1.0;1.4;1.4;3;1;1;0;11
Cacao;Cultivos Tropicales Tradicionales;162.0;87.0;0.6;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;93.0;79.97;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;181.0;10200.0;60.0;6;4;2;1;463
Maíz;Cereales;25.0;110.0;5.0;5;1;0;0;1624
Maíz;Cereales;5.0;20.0;5.0;5;1;0;0;1624
Maíz;Cereales;29.0;140.0;5.0;5;1;1;0;1624
Maíz;Cereales;6.0;25.0;5.0;5;1;1;0;1624
Maíz;Cereales;8.0;6.71;0.84;5;1;0;0;1624
Cacao;Cultivos Tropicales Tradicionales;142.0;96.95;0.7;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;506.1;399.01;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;172.0;8400.0;50.0;6;4;2;1;463
Maíz;Cereales;15.0;22.0;1.47;5;1;0;0;1624
Maíz;Cereales;7.0;13.0;1.86;5;1;0;0;1624
Frijol;Leguminosas;9.0;15.0;1.67;3;1;0;0;1090
Maíz;Cereales;9.0;9.0;1.0;5;1;1;0;1624
Maíz;Cereales;8.0;8.0;1.0;5;1;1;0;1624
Frijol;Leguminosas;7.0;12.0;1.71;3;1;1;0;1090
Cacao;Cultivos Tropicales Tradicionales;10.0;5.0;0.5;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;151.53;149.27;1.08;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;150.0;6000.0;40.0;6;4;2;1;463
Maíz;Cereales;110.0;111.86;1.02;5;1;0;0;1624
Maíz;Cereales;40.0;33.56;0.84;5;1;0;0;1624
Arveja;Leguminosas;8.0;7.2;0.9;3;2;0;0;1173
Frijol;Leguminosas;30.0;45.0;1.5;3;1;0;0;1090
Arveja;Leguminosas;10.0;9.0;0.9;3;2;1;0;1173
Frijol;Leguminosas;140.0;280.0;2.0;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;93.64;77.32;0.91;6;3;2;1;474
Maíz;Cereales;70.0;90.89;1.4;5;1;0;0;1624
Maíz;Cereales;25.0;27.97;1.12;5;1;0;0;1624
Arveja;Leguminosas;20.0;37.38;1.87;3;2;0;0;1173
Frijol;Leguminosas;40.0;83.92;2.1;3;1;0;0;1090
Maíz;Cereales;9.0;19.8;2.2;5;1;0;0;1624
Maíz;Cereales;9.0;19.8;2.2;5;1;0;0;1624
Arveja;Leguminosas;7.0;21.03;3.51;3;2;0;0;1173
Frijol;Leguminosas;4.0;19.58;4.89;3;1;0;0;1090
Maíz;Cereales;11.0;27.5;2.5;5;1;1;0;1624
Maíz;Cereales;11.0;27.5;2.5;5;1;1;0;1624
Arveja;Leguminosas;11.0;10.5;1.05;3;2;1;0;1173
Frijol;Leguminosas;6.0;10.28;1.71;3;1;1;0;1090
Maíz;Cereales;150.0;419.49;2.8;5;1;0;0;1624
Maíz;Cereales;15.0;41.95;2.8;5;1;0;0;1624
Arveja;Leguminosas;10.0;18.69;1.87;3;2;0;0;1173
Frijol;Leguminosas;25.0;52.45;3.5;3;1;0;0;1090
Haba;Leguminosas;4.0;4.0;1.0;3;1;0;0;215
